timestamp,date,open,high,low,close,volume
1656906300,2022-07-04,3312.00,3317.95,3225.05,3235.05,2622535
1656992700,2022-07-05,3255.00,3272.00,3206.95,3216.30,2170627
1657079100,2022-07-06,3218.50,3268.50,3202.25,3260.75,2182144
1657165500,2022-07-07,3271.00,3319.40,3265.05,3287.85,1989921
1657251900,2022-07-08,3300.00,3305.00,3250.00,3265.45,2136916
1657511100,2022-07-11,3206.15,3225.00,3106.00,3113.80,6974600
1657597500,2022-07-12,3114.90,3136.20,3080.25,3084.70,3734815
1657683900,2022-07-13,3104.00,3110.00,3035.00,3038.75,3863530
1657770300,2022-07-14,3056.00,3057.00,2967.00,2998.75,4764908
1657856700,2022-07-15,3018.55,3028.90,2953.00,2994.60,4574806
1658115900,2022-07-18,3023.00,3076.95,3014.30,3063.50,3202795
1658202300,2022-07-19,3030.05,3078.95,3030.05,3074.25,1865074
1658288700,2022-07-20,3107.80,3171.95,3098.05,3164.80,3402251
1658375100,2022-07-21,3167.00,3184.00,3144.05,3177.30,2420640
1658461500,2022-07-22,3185.00,3197.00,3143.50,3171.00,2075886
1658720700,2022-07-25,3165.00,3186.45,3149.10,3166.75,1797504
1658807100,2022-07-26,3164.70,3168.90,3096.50,3115.90,2639367
1658893500,2022-07-27,3115.00,3194.10,3110.00,3188.85,1389808
1658979900,2022-07-28,3216.00,3264.00,3201.65,3260.50,2106333
1659066300,2022-07-29,3290.00,3317.30,3275.00,3301.90,2430257
1659325500,2022-08-01,3327.00,3327.00,3271.00,3298.80,1306913
1659411900,2022-08-02,3290.00,3312.90,3271.65,3291.80,1269114
1659498300,2022-08-03,3280.00,3349.00,3277.05,3339.50,2895824
1659584700,2022-08-04,3350.00,3387.90,3307.35,3354.95,2150567
1659671100,2022-08-05,3361.20,3377.00,3355.00,3365.05,1106933
1659930300,2022-08-08,3365.00,3378.90,3336.00,3374.45,1068836
1660103100,2022-08-10,3385.00,3385.00,3335.00,3354.25,1878359
1660189500,2022-08-11,3400.00,3428.70,3375.05,3422.50,1449248
1660275900,2022-08-12,3419.00,3419.00,3381.25,3401.55,1472354
1660621500,2022-08-16,3411.00,3414.85,3387.50,3392.70,839942
1660707900,2022-08-17,3385.10,3417.95,3371.10,3401.10,1622326
1660794300,2022-08-18,3390.00,3392.00,3362.00,3381.25,1430659
1660880700,2022-08-19,3387.00,3421.50,3371.25,3385.75,1398410
1661139900,2022-08-22,3365.00,3384.10,3347.40,3354.55,1536532
1661226300,2022-08-23,3319.95,3341.90,3270.00,3284.60,1849256
1661312700,2022-08-24,3292.00,3308.00,3250.20,3255.35,1691923
1661399100,2022-08-25,3276.00,3278.15,3214.75,3218.20,1946930
1661485500,2022-08-26,3234.30,3257.00,3216.80,3222.20,1457962
1661744700,2022-08-29,3125.00,3142.70,3081.00,3132.55,2539173
1661831100,2022-08-30,3155.00,3226.50,3142.10,3211.15,3431525
1662003900,2022-09-01,3190.00,3190.00,3121.00,3131.70,3546935
1662090300,2022-09-02,3163.00,3163.00,3120.30,3130.40,2052900
1662349500,2022-09-05,3123.65,3147.95,3112.25,3133.40,2147912
1662435900,2022-09-06,3135.50,3140.85,3106.35,3127.05,1936453
1662522300,2022-09-07,3102.00,3161.90,3102.00,3149.60,1291534
1662608700,2022-09-08,3170.00,3183.50,3160.10,3169.65,1346113
1662695100,2022-09-09,3195.00,3233.50,3168.50,3217.65,1561185
1662954300,2022-09-12,3239.90,3269.80,3225.00,3242.95,1785928
1663040700,2022-09-13,3263.45,3263.45,3225.00,3229.35,1972678
